molecule,smiles
'61095','CCOc1ccc2nc(/N=C\\c3ccccc3O)sc2c1',
'77329','Cn1cc(Cl)c(/C=N/O)n1',
'79729','S=c1cc(-c2ccc(Cl)cc2)ss1',
'86442','CN1C(=O)C/C(=N\\O)N(C)C1=O',
'87557','NNC(=O)[C@H]1C(c2ccccc2)[C@@H]1C(=O)NN',
'95858','CCO/C(O)=N/S(=O)(=O)c1ccccc1Cl',
'107550','C/C(=N\\O)c1oc(C)nc1C',
'107778','O/N=C/C1=C(Cl)c2cc(Cl)ccc2OC1',
'123162','CC(=O)/C(=N/Nc1ccc(Cl)cc1)C(=O)c1ccccc1',
'133435','c1ccc(-c2nc3ccccc3nc2-c2ccccn2)nc1',
'138607','O=C(CC1=NO[C@H](c2ccccc2O)N1)N1CCCC1',
'140610','Cc1cc(C)c2c(=O)[nH]sc2n1',
'164361','CCON1C(=O)c2ccccc2C1=O',
'167648','Cc1ccc(COn2c(-c3ccccc3)nc3ccccc3c2=O)cc1',
'169358','CC1=Cn2c(=O)c3ccccc3c(=O)n2C1',
'1755198','CC(C)C(=O)NNC(=O)C(C)C',
'1867000','c1ccc(-c2ccccc2-c2ccccc2)cc1',
'3127671','O=C(CSCC(=O)Nc1ccccc1)NNC(=O)c1ccccc1',
'4344392','CCOC(=O)NNC(=O)NCCCc1ccc2ccc3cccc4ccc1c2c34',
'4363792','Clc1cc(Cl)cc(/N=c2\\ssnc2-c2ccccc2Cl)c1',
'6568023','O=C(NNC(=O)c1ccccc1)c1ccccc1',
'33381936','O=S(=O)(O/N=C1/CCc2ccccc21)c1ccc(Cl)cc1'
